Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
007001763,,PRYCE NIGHT STAND,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007001764,,PRYCE NIGHT STAND,Furniture,,,Display,,,,0, $-   , $-   ,,,#N/A
007001747,,PRYCE SOFA (STEEL FEET),Furniture,,polo,Display,44075307,,,Sellable," $10,157 "," $2,006 ",,,2020
007003193,,PYRCE SOFA,Furniture,,polo,Display,74544958,,,Sellable," $15,847 "," $3,539 ",,,2024
007003240,,RADCLIFFE  DINNING ARMCHAIR,Furniture,,polo,Display,74740457,,,Sellable," $5,565 "," $1,586 ",,,2024
007003183,,RADCLIFFE DINNING ARMCHAIR,Furniture,,polo,Display,74740457,,,Sellable," $5,565 "," $1,586 ",,,2024
006303884,,Refectory Work Table RL39209-20,Furniture,,Polo,Missing pieces,42239095,,damage,Damaged," $13,350 "," $3,338 ",,,2019
007002100,,RUE ROYALE TABLE,Furniture,,Adam's client,Display,77074862,,,0," $3,270 ", $818 ,,,2023
007002101,,RUE ROYALE TABLE,Furniture,,Polo,Display,77074862,,,Sellable," $3,270 ", $818 ,,,2023
007000028,,SADLER COCKATIL OTTOMAN,Furniture,,polo,Display,45261143,,,Sellable, $-   , $-   ,,,#N/A
